Scuola;Tipo corso;Corso di laurea - Sede;Classe di laurea;Donne N.;Donne voto medio;Donne durata media;Uomini N.;Uomini voto medio;Uomini durata media;Totale N.;Totale voto medio;Totale durata media
Agraria e Medicina Veterinaria ;Corso di Laurea (DM 270);ANIMAL CARE - TUTELA DEL BENESSERE ANIMALE - LEGNARO (PD);L-38;16;105,3;3,4;2;97,0;4,4;18;104,3;3,5
;;RIASSETTO DEL TERRITORIO E TUTELA DEL PAESAGGIO - LEGNARO (PD);L-21;9;100,1;3,4;24;98,5;4,7;33;99,0;4,3
;;SCIENZE E CULTURA DELLA GASTRONOMIA  - LEGNARO (PD);L/GASTR;19;100,7;3,1;24;101,4;3,1;43;101,1;3,1
;;SCIENZE E CULTURA DELLA GASTRONOMIA E DELLA RISTORAZIONE - LEGNARO (PD);L-26;7;95,6;3,9;9;93,6;4,4;16;94,4;4,2
;;SCIENZE E TECNOLOGIE AGRARIE - LEGNARO (PD);L-25;17;102,4;3,6;61;98,3;3,8;78;99,2;3,8
;;SCIENZE E TECNOLOGIE ALIMENTARI - LEGNARO (PD);L-26;32;99,6;3,8;38;99,5;4,1;70;99,6;4,0
;;SCIENZE E TECNOLOGIE ANIMALI - LEGNARO (PD);L-38;28;100,5;3,6;10;103,0;4,4;38;101,2;3,8
;;SCIENZE E TECNOLOGIE VITICOLE ED ENOLOGICHE - CONEGLIANO (TV);L-25;20;100,1;3,8;29;97,8;3,5;49;98,7;3,6
;;SICUREZZA IGIENICO-SANITARIA DEGLI ALIMENTI - VICENZA;L-38,L-26;30;96,6;4,7;14;98,3;3,7;44;97,2;4,4
;;TECNICA E GESTIONE DELLE PRODUZIONI BIOLOGICHE VEGETALI - LEGNARO (PD);L-25;4;108,3;3,0;6;98,7;3,3;10;102,5;3,2
;;TECNOLOGIE FORESTALI E AMBIENTALI - LEGNARO (PD);L-25;29;98,6;3,7;33;100,8;4,1;62;99,7;3,9
;Corso di Laurea (DM 509);TUTELA E RIASSETTO DEL TERRITORIO - LEGNARO (PD);7;;;;1;87,0;18,1;1;87,0;18,1
;Corso di Laurea Magistrale;BIOTECNOLOGIE PER L'ALIMENTAZIONE - LEGNARO (PD);LM-9;36;103,3;2,7;25;104,2;2,5;61;103,7;2,6
;;FOOD AND HEALTH - LEGNARO (PD);LM-61;32;105,7;2,0;10;106,4;2,2;42;105,8;2,1
;;FOREST SCIENCE - SCIENZE FORESTALI - LEGNARO (PD);LM-73;13;106,3;2,2;22;104,7;2,1;35;105,3;2,1
;;ITALIAN FOOD AND WINE - ALIMENTI E VINI D'ITALIA - LEGNARO (PD);LM-70;28;101,4;2,4;9;96,3;2,8;37;100,2;2,5
;;SCIENZE E TECNOLOGIE AGRARIE - LEGNARO (PD);LM-69;12;104,9;2,4;46;105,1;2,6;58;105,1;2,5
;;SCIENZE E TECNOLOGIE ALIMENTARI - LEGNARO (PD);LM-70;26;105,0;2,4;26;105,2;2,7;52;105,1;2,5
;;SCIENZE E TECNOLOGIE ANIMALI - LEGNARO (PD);LM-86;16;101,6;2,1;10;103,0;2,5;26;102,1;2,2
;;SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO - LEGNARO (PD);LM-75;2;108,0;2,7;11;104,7;2,5;13;105,2;2,5
;;SCIENZE FORESTALI E AMBIENTALI - LEGNARO (PD);LM-73;17;107,0;3,2;40;106,3;2,9;57;106,5;3,0
;;SUSTAINABLE AGRICULTURE - AGRICOLTURA SOSTENIBILE - LEGNARO (PD);LM-69;21;102,8;2,1;23;99,7;2,8;44;101,2;2,5
;Laurea Magistrale Ciclo Unico 5 anni;MEDICINA VETERINARIA - LEGNARO (PD);LM-42;40;106,6;5,7;17;105,8;6,8;57;106,4;6,0
Agraria e Medicina Veterinaria  Totale;;;;454;102,4;3,3;490;101,6;3,4;944;102,0;3,4
Economia e Scienze politiche;Corso di Laurea (DM 270);DIRITTO DELL'ECONOMIA  - ROVIGO;L-14;28;101,6;3,6;24;99,9;3,5;52;100,8;3,6
;;DIRITTO DELL'ECONOMIA E GOVERNO DELLE ORGANIZZAZIONI - PADOVA;L-14;1;102,0;13,7;1;106,0;14,3;2;104,0;14,0
;;ECONOMIA - PADOVA;L-18;158;98,9;3,2;223;99,0;3,3;381;99,0;3,3
;;ECONOMIA E MANAGEMENT - PADOVA;L-18;1;89,0;9,9;1;89,0;10,4;2;89,0;10,1
;;SCIENZE POLITICHE - PADOVA;L-36;33;100,7;3,7;54;100,0;3,7;87;100,3;3,7
;;SCIENZE POLITICHE, RELAZIONI INTERNAZIONALI, DIRITTI UMANI - PADOVA;L-36;285;102,6;3,4;78;99,1;3,6;363;101,8;3,4
;;SCIENZE POLITICHE, STUDI INTERNAZIONALI ED EUROPEI - PADOVA;L-36;1;106,0;13,3;1;97,0;12,9;2;101,5;13,1
;;SCIENZE POLITICHE, STUDI INTERNAZIONALI, GOVERNO DELLE AMMINISTRAZIONI - PADOVA;L-36;10;93,0;6,5;11;90,1;7,1;21;91,5;6,8
;;SERVIZIO SOCIALE - PADOVA;L-39;48;103,5;3,5;3;107,7;5,9;51;103,7;3,6
;Corso di Laurea Magistrale;BUSINESS ADMINISTRATION - PADOVA;LM-77;31;102,8;2,5;47;102,7;2,6;78;102,7;2,6
;;ECONOMIA E DIRITTO - PADOVA;LM-77;19;104,7;3,0;15;103,9;3,2;34;104,3;3,1
;;ECONOMIA INTERNAZIONALE - PADOVA;LM-56;1;105,0;7,3;;;;1;105,0;7,3
;;ECONOMICS AND FINANCE - PADOVA;LM-56;11;102,4;2,9;36;104,4;2,9;47;103,9;2,9
;;ENTREPRENEURSHIP AND INNOVATION - IMPRENDITORIALITA' E INNOVAZIONE - PADOVA;LM-77;24;99,3;2,8;26;101,8;2,9;50;100,6;2,9
;;EUROPEAN AND GLOBAL STUDIES - PADOVA;LM-90;40;106,1;2,5;20;106,5;2,6;60;106,2;2,5
;;HUMAN RIGHTS AND MULTI-LEVEL GOVERNANCE - PADOVA;LM-52;101;106,2;2,4;11;104,2;2,8;112;106,0;2,4
;;INNOVAZIONE E SERVIZIO SOCIALE - PADOVA;LM-87;47;106,4;2,7;6;108,7;2,6;53;106,7;2,7
;;RELAZIONI INTERNAZIONALI E DIPLOMAZIA - PADOVA;LM-52;34;107,6;2,7;19;107,5;3,2;53;107,6;2,9
;;SCIENZE DEL GOVERNO E POLITICHE PUBBLICHE - PADOVA;LM-63;31;107,0;2,8;19;102,5;3,0;50;105,3;2,9
;;SCIENZE DEL SERVIZIO SOCIALE - PADOVA;LM-87;1;110,0;9,3;;;;1;110,0;9,3
;Corso di Laurea Specialistica;POLITICA INTERNAZIONALE E DIPLOMAZIA - PADOVA;60/S;;;;1;106,0;16,4;1;106,0;16,4
;Corso di Laurea;SCIENZE POLITICHE - PADOVA;;;;;1;89,0;32,0;1;89,0;32,0
Economia e Scienze politiche Totale;;;;905;102,8;3,2;597;100,7;3,4;1.502;102,0;3,3
Giurisprudenza;Corso di Laurea (DM 270);CONSULENTE DEL LAVORO - PADOVA;L-14;87;97,2;4,0;25;92,6;4,1;112;96,2;4,0
;;DIRITTO E TECNOLOGIA - PADOVA;L-14;64;101,0;3,1;43;99,3;3,1;107;100,3;3,1
;Corso di Laurea (DM 509);CONSULENTE DEL LAVORO - PADOVA;2;;;;1;110,0;17,8;1;110,0;17,8
;Laurea Magistrale Ciclo Unico 5 anni;GIURISPRUDENZA - PADOVA;LMG/01;126;102,0;6,9;60;103,4;6,5;186;102,4;6,7
;;GIURISPRUDENZA - TREVISO;LMG/01;10;104,7;8,1;9;104,4;7,6;19;104,6;7,9
;;GIURISPRUDENZA - SEDE DI TREVISO;LMG/01;36;107,5;5,4;18;106,1;5,5;54;107,0;5,4
;Corso di Laurea;GIURISPRUDENZA - PADOVA;;1;84,0;41,1;;;;1;84,0;41,1
Giurisprudenza Totale;;;;324;101,1;5,3;156;101,0;5,2;480;101,1;5,3
Ingegneria;Corso di Laurea (DM 270);INGEGNERIA AEROSPAZIALE - PADOVA;L-9;25;96,7;3,6;136;96,8;3,8;161;96,7;3,8
;;INGEGNERIA BIOMEDICA - PADOVA;L-8;2;83,0;6,9;2;82,0;8,1;4;82,5;7,5
;;INGEGNERIA BIOMEDICA - PADOVA;L-8,L-9;139;99,4;3,3;136;98,0;3,5;275;98,7;3,4
;;INGEGNERIA CHIMICA E DEI MATERIALI - PADOVA;L-9;47;96,8;3,7;86;98,2;3,8;133;97,7;3,7
;;INGEGNERIA CIVILE - PADOVA;L-7;17;96,3;5,6;29;100,1;3,9;46;98,7;4,5
;;INGEGNERIA DELL'ENERGIA - PADOVA;L-9;16;97,0;3,6;121;93,5;4,3;137;93,9;4,2
;;INGEGNERIA DELL'INFORMAZIONE - PADOVA;L-8;19;95,7;4,5;61;95,2;4,3;80;95,3;4,3
;;INGEGNERIA DELL'INNOVAZIONE DEL PRODOTTO - VICENZA;L-9;3;91,7;3,9;20;93,5;4,3;23;93,2;4,2
;;INGEGNERIA ELETTRONICA - PADOVA;L-8;3;96,3;3,5;65;95,4;3,9;68;95,4;3,8
;;INGEGNERIA GESTIONALE - VICENZA;L-9;66;94,0;3,8;177;92,3;4,0;243;92,8;3,9
;;INGEGNERIA INFORMATICA - PADOVA;L-8;13;96,3;3,7;151;98,1;3,6;164;97,9;3,6
;;INGEGNERIA MECCANICA - PADOVA;L-9;13;99,4;3,8;198;92,9;4,1;211;93,3;4,1
;;INGEGNERIA MECCANICA E MECCATRONICA - VICENZA;L-8,L-9;;;;7;81,1;9,4;7;81,1;9,4
;;INGEGNERIA MECCATRONICA - VICENZA;L-8;5;89,8;3,9;72;95,4;4,0;77;95,1;4,0
;;INGEGNERIA PER L'AMBIENTE E IL TERRITORIO - PADOVA;L-7;28;98,0;3,9;28;96,3;4,0;56;97,1;4,0
;;TECNICHE E GESTIONE DELL'EDILIZIA E DEL TERRITORIO - PADOVA;L-23;3;97,3;3,1;6;101,2;4,0;9;99,9;3,7
;Corso di Laurea (DM 509);INGEGNERIA INFORMATICA - PADOVA;9;;;;1;75,0;17,7;1;75,0;17,7
;Corso di Laurea Magistrale;BIOINGEGNERIA - PADOVA;LM-21;137;104,4;2,4;96;102,1;2,6;233;103,5;2,5
;;CHEMICAL AND PROCESS ENGINEERING - PADOVA;LM-22;3;107,0;2,2;14;107,4;2,1;17;107,4;2,1
;;COMPUTER ENGINEERING - PADOVA;LM-32;17;103,8;2,6;68;105,2;2,4;85;104,9;2,5
;;CONTROL SYSTEMS ENGINEERING - PADOVA;LM-25;19;103,7;2,3;55;104,4;2,4;74;104,2;2,4
;;ENERGY ENGINEERING - PADOVA;LM-30;4;110,0;2,2;30;106,8;2,1;34;107,1;2,1
;;ENVIRONMENTAL ENGINEERING - PADOVA;LM-35;17;105,2;2,5;25;103,9;2,6;42;104,4;2,5
;;ICT FOR INTERNET AND MULTIMEDIA - INGEGNERIA PER LE COMUNICAZIONI MULTIMEDIALI E INTERNET - PADOVA;LM-27;37;97,9;2,4;64;104,3;2,6;101;101,9;2,5
;;INGEGNERIA AEROSPAZIALE - PADOVA;LM-20;16;100,9;3,0;97;103,1;2,8;113;102,8;2,9
