"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"74"
"Hanno compilato il questionario";"65"
"Tasso di compilazione";"87,8"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";""
"Uomini";"89,2"
"Donne";"10,8"
"Eta' alla laurea (%)";""
"Meno di 23 anni";"54,1"
"23-24 anni";"37,8"
"25-26 anni";"6,8"
"27 anni e oltre";"1,4"
"Eta' alla laurea (medie, in anni)";"23,0"
"Cittadini stranieri (%)";"6,8"
"Residenza (%)";""
"Stessa provincia della sede degli studi";"40,5"
"Altra provincia della stessa regione";"47,3"
"Altra regione";"10,8"
"Estero";"1,4"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%)";""
"Almeno un genitore laureato";"35,4"
"Entrambi con laurea";"12,3"
"Uno solo con laurea";"23,1"
"Nessun genitore laureato";"63,1"
"Diploma di scuola secondaria di secondo grado";"41,5"
"Qualifica professionale, titolo inferiore o nessun titolo";"21,5"
"Classe sociale (%)";""
"Classe elevata";"16,9"
"Classe media impiegatizia";"43,1"
"Classe media autonoma";"16,9"
"Classe del lavoro esecutivo";"21,5"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%)";""
"Liceale";"37,8"
"Liceo classico";"1,4"
"Liceo linguistico";"-"
"Liceo scientifico";"36,5"
"Liceo delle scienze umane";"-"
"Liceo artistico e musicale e coreutico";"-"
"Tecnico";"59,5"
"Tecnico economico";"2,7"
"Tecnico tecnologico";"56,8"
"Professionale";"1,4"
"Titolo estero";"1,4"
"Voto di diploma (medie, in 100-mi)";"85,1"
"Hanno conseguito il diploma (%)";""
"Nella stessa provincia della sede degli studi universitari";"36,5"
"In una provincia limitrofa";"48,6"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"12,2"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"1,4"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"-"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"-"
"All'estero";"1,4"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%)";"16,9"
"Portate a termine";"-"
"Non portate a termine";"16,9"
"Nessuna precedente esperienza universitaria";"83,1"
"Motivazioni molto importanti nella scelta del corso di laurea (%)";""
"Fattori sia culturali sia professionalizzanti";"47,7"
"Fattori prevalentemente culturali";"26,2"
"Fattori prevalentemente professionalizzanti";"18,5"
"Ne' gli uni ne' gli altri";"7,7"
"Eta' all'immatricolazione (%)";""
"Regolare o 1 anno di ritardo";"89,2"
"2 o più anni di ritardo";"10,8"
"Punteggio degli esami (medie, in 30-mi)";"26,0"
"Voto di laurea (medie, in 110-mi)";"103,5"
"Regolarita' negli studi (%)";""
"In corso";"62,2"
"1° anno fuori corso";"33,8"
"2° anno fuori corso";"2,7"
"3° anno fuori corso";"-"
"4° anno fuori corso";"-"
"5° anno fuori corso e oltre";"1,4"
"Durata degli studi (medie, in anni)";"3,5"
"Ritardo alla laurea (medie, in anni)";"0,5"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso)";"0,16"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";""
"Più del 50% della durata degli studi";"63,1"
"Meno del 50%";"35,4"
"Hanno frequentato regolarmente (%)";""
"Più del 75% degli insegnamenti previsti";"84,6"
"Tra il 50% e il 75%";"13,8"
"Tra il 25% e il 50%";"1,5"
"Meno del 25%";"-"
"Hanno usufruito del servizio di borse di studio (%)";"24,6"
"Hanno svolto periodi di studio all’estero durante il corso di studio (%)";"-"
"Hanno svolto periodi di studio all’estero riconosciuti dal corso di studio";"-"
"Con Erasmus o altro programma dell'Unione Europea";"-"
"Altra esperienza riconosciuta dal corso di studio";"-"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)";"-"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)";"-"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di studio (%)";"86,2"
"Tirocini curriculari organizzati dal corso e svolti presso l'universita'";"1,5"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'universita'";"83,1"
"Attivita' di lavoro successivamente riconosciute dal corso";"1,5"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"2,5"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"";""
"Hanno avuto esperienze di lavoro (%)";"56,9"
"Lavoratori-studenti";"-"
"Altre esperienze di lavoro con continuita' a tempo pieno";"1,5"
"Lavoro a tempo parziale";"20,0"
"Lavoro occasionale, saltuario, stagionale";"35,4"
"Nessuna esperienza di lavoro";"43,1"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)";"24,3"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";""
"Sono complessivamente soddisfatti del corso di laurea (%)";""
"Decisamente sì";"44,6"
"Più sì che no";"46,2"
"Più no che sì";"6,2"
"Decisamente no";"1,5"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";""
"Decisamente sì";"21,5"
"Più sì che no";"76,9"
"Più no che sì";"1,5"
"Decisamente no";"-"
"Sono soddisfatti dei rapporti con gli studenti (%)";""
"Decisamente sì";"58,5"
"Più sì che no";"29,2"
"Più no che sì";"9,2"
"Decisamente no";"1,5"
"Hanno utilizzato le aule (%)";"100,0"
"Valutazione delle aule (per 100 fruitori)";""
"Sempre o quasi sempre adeguate";"32,3"
"Spesso adeguate";"63,1"
"Raramente adeguate";"4,6"
"Mai adeguate";"-"
"Hanno utilizzato le postazioni informatiche (%)";"98,5"
"Non le hanno utilizzate nonostante fossero presenti";"1,5"
"Non le hanno utilizzate in quanto non presenti";"-"
"Valutazione delle postazioni informatiche (per 100 fruitori)";""
"In numero adeguato";"85,9"
"In numero inadeguato";"14,1"
"Hanno utilizzato i servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (%)";"60,0"
"Valutazione dei servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (per 100 fruitori)";""
"Decisamente positiva";"69,2"
"Abbastanza positiva";"30,8"
"Abbastanza negativa";"-"
"Decisamente negativa";"-"
"Hanno utilizzato le attrezzature per le altre attivita' didattiche (laboratori, attivita' pratiche, ...) (%)";"87,7"
"Valutazione delle attrezzature per le altre attivita' didattiche (laboratori, attivita' pratiche, …) (per 100 fruitori)";""
"Sempre o quasi sempre adeguate";"54,4"
"Spesso adeguate";"40,4"
"Raramente adeguate";"5,3"
"Mai adeguate";"-"
"Hanno utilizzato gli spazi dedicati allo studio individuale (%)";"78,5"
"Non li hanno utilizzati nonostante fossero presenti";"21,5"
"Non li hanno utilizzati in quanto non presenti";"-"
"Valutazione degli spazi dedicati allo studio individuale (per 100 fruitori)";""
"Adeguati";"90,2"
"Inadeguati";"9,8"
"Hanno usufruito dei servizi di orientamento allo studio post-laurea (%)";"56,9"
"Sono soddisfatti dei servizi di orientamento allo studio post-laurea (per 100 fruitori)";""
"Decisamente sì";"32,4"
"Più sì che no";"43,2"
"Più no che sì";"18,9"
"Decisamente no";"5,4"
"Hanno usufruito di iniziative formative di orientamento al lavoro (%)";"55,4"
"Sono soddisfatti delle iniziative formative di orientamento al lavoro (per 100 fruitori)";""
"Decisamente sì";"33,3"
"Più sì che no";"30,6"
"Più no che sì";"27,8"
"Decisamente no";"8,3"
"Hanno usufruito dei servizi di sostegno alla ricerca del lavoro (%)";"40,0"
"Sono soddisfatti dei servizi di sostegno alla ricerca del lavoro (per 100 fruitori)";""
"Decisamente sì";"46,2"
"Più sì che no";"23,1"
"Più no che sì";"23,1"
"Decisamente no";"7,7"
"Hanno usufruito dell'ufficio/servizi job placement (%)";"40,0"
"Sono soddisfatti dell'organizzazione dell'ufficio/servizi job placement (per 100 fruitori)";""
"Decisamente sì";"46,2"
"Più sì che no";"26,9"
"Più no che sì";"23,1"
"Decisamente no";"3,8"
"Hanno usufruito dei servizi delle segreterie studenti (%)";"76,9"
"Sono soddisfatti dei servizi delle segreterie studenti (per 100 fruitori)";""
"Decisamente sì";"18,0"
"Più sì che no";"48,0"
"Più no che sì";"14,0"
"Decisamente no";"20,0"
"Hanno ritenuto l'organizzazione degli esami (appelli, orari, informazioni, prenotazioni, ...) soddisfacente (%)";""
"Sempre o quasi sempre";"50,8"
"Per più della meta' degli esami";"47,7"
"Per meno della meta' degli esami";"1,5"
"Mai o quasi mai";"-"
"Hanno ritenuto il carico di studio degli insegnamenti adeguato alla durata del corso di studio (%)";""
"Decisamente sì";"40,0"
"Più sì che no";"47,7"
"Più no che sì";"12,3"
"Decisamente no";"-"
"Si iscriverebbero di nuovo all'universita'? (%)";""
"Sì, allo stesso corso dell'Ateneo";"78,5"
"Sì, ma ad un altro corso dell'Ateneo";"7,7"
"Sì, allo stesso corso ma in un altro Ateneo";"6,2"
"Sì, ma ad un altro corso e in un altro Ateneo";"3,1"
"Non si iscriverebbero più all'universita'";"3,1"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";""
"Lingue straniere: conoscenza “almeno B2” (%)";""
"Inglese scritto";"95,4"
"Inglese parlato";"84,6"
"Francese scritto";"1,5"
"Francese parlato";"-"
"Spagnolo scritto";"1,5"
"Spagnolo parlato";"1,5"
"Tedesco scritto";"1,5"
"Tedesco parlato";"3,1"
"Strumenti informatici: livello di conoscenza "almeno buona" (%)";""
"Navigazione in Internet e comunicazione in rete";"93,8"
"Word processor";"89,2"
"Fogli elettronici";"76,9"
"Strumenti di presentazione";"70,8"
"Sistemi operativi";"87,7"
"Linguaggi di programmazione";"95,4"
"Data base";"78,5"
"Realizzazione siti web";"90,8"
"Reti di trasmissione dati";"60,0"
"Disegno e progettazione assistita";"4,6"
"9. PROSPETTIVE DI STUDIO"
"";""
"Intendono proseguire gli studi dopo il conseguimento del titolo (%)";"66,2"
"Altra laurea di primo livello";"-"
"Laurea magistrale biennale";"61,5"
"Laurea magistrale a ciclo unico";"1,5"
"Altro titolo equiparato alla laurea";"1,5"
"Dottorato di ricerca";"-"
"Scuola di specializzazione post-laurea";"-"
"Master universitario";"-"
"Altro tipo di master o corso di perfezionamento";"-"
"Tirocinio, praticantato";"-"
"Attivita' sostenuta da borsa o assegno di studio";"-"
"Altre attivita' di qualificazione professionale";"1,5"
"Non intendono proseguire";"30,8"
"Motivo principale dell'iscrizione ad un corso di laurea magistrale biennale (per 100 che intendono iscriversi ad una laurea magistrale biennale)";""
"Per completare/arricchire la formazione";"90,0"
"Si tratta di una scelta "quasi obbligata" per poter accedere al mondo del lavoro";"7,5"
"Ateneo a cui intendono iscriversi (per 100 che intendono iscriversi ad una laurea magistrale biennale)";""
"Stesso Ateneo della laurea di primo livello";"72,5"
"Altro Ateneo del Nord";"10,0"
"Altro Ateneo del Centro";"2,5"
"Altro Ateneo del Sud-Isole";"-"
"Ateneo estero";"15,0"
"10. PROSPETTIVE DI LAVORO"
"";""
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";""
"Acquisizione di professionalita'";"75,4"
"Possibilita' di carriera";"70,8"
"Possibilita' di guadagno";"67,7"
"Stabilita'/sicurezza del posto di lavoro";"50,8"
"Rispondenza agli interessi culturali";"33,8"
"Coerenza con gli studi";"56,9"
"Utilita' sociale del lavoro";"27,7"
"Prestigio ricevuto dal lavoro";"29,2"
"Coinvolgimento e partecipazione all’attivita' lavorativa e ai processi decisionali";"41,5"
"Indipendenza o autonomia";"52,3"
"Flessibilita' dell’orario di lavoro";"58,5"
"Rapporti con i colleghi sul luogo di lavoro";"56,9"
"Luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"33,8"
"Tempo libero";"60,0"
"Opportunita' di contatti con l'estero";"46,2"
"Possibilita' di utilizzare al meglio le competenze acquisite";"58,5"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";""
"Pubblico";"21,5"
"Privato (compreso l'avvio di un'attivita' autonoma/in conto proprio)";"63,1"
"Disponibilita' a lavorare per tipo di relazione contrattuale: decisamente sì (%)";""
"ORARIO/MODALITA' LAVORATIVA";""
"Tempo pieno";"76,9"
"Part-time";"30,8"
"Telelavoro o smart-working";"58,5"
"CONTRATTO";""
"A tutele crescenti";"78,5"
"A tempo determinato";"27,7"
"Stage";"4,6"
"Apprendistato";"7,7"
"Somministrazione di lavoro (ex interinale)";"1,5"
"Autonomo/in conto proprio";"12,3"
"Disponibilita' a lavorare nelle seguenti aree geografiche: decisamente sì (%)";""
"Provincia di residenza";"66,2"
"Provincia degli studi";"70,8"
"Regione degli studi";"60,0"
"Italia settentrionale";"64,6"
"Italia centrale";"12,3"
"Italia meridionale";"9,2"
"Stato europeo";"61,5"
"Stato extraeuropeo";"43,1"
"Disponibilita' ad effettuare trasferte di lavoro (%)";""
"Sì, anche con trasferimenti di residenza";"46,2"
"Sì, anche frequenti (senza cambi di residenza)";"27,7"
"Sì, ma solo in numero limitato";"23,1"
"Non disponibili a trasferte";"1,5"
