"1. Popolazione analizzata"
"";""
"Numero di laureati";"42"
"Numero di intervistati";"42"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"83,3"
"Donne";"16,7"
"Eta' alla laurea (medie, in anni)";"23,5"
"Voto di laurea (medie, in 110-mi)";"100,3"
"Durata degli studi (medie, in anni)";"3,9"
"Indice di ritardo";"0,30"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"50,0"
"Sono attualmente iscritti";"50,0"
"Si sono iscritti ad un corso di laurea di primo livello";"-"
"Sono attualmente iscritti";"-"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"50,0"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"71,4"
"Mancanza di un corso nell’area disciplinare di interesse";"4,8"
"Motivi economici";"-"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"-"
"Non interessati per altri motivi";"23,8"
"Motivi personali";"-"
"Altro motivo";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"47,6"
"Per migliorare le possibilita' di trovare lavoro";"38,1"
"Perche' è necessaria per trovare lavoro";"-"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"14,3"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"57,1"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"42,9"
"Rientra in un settore disciplinare diverso";"-"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"81,0"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,1"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"26,2"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"-"
"Tirocinio/praticantato";"-"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"-"
"Altro tipo di master";"-"
"Stage in azienda";"23,8"
"Corso di formazione professionale";"-"
"Attivita' sostenuta da borsa di studio";"2,4"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"50,0"
"Lavorano e sono iscritti ad una laurea di secondo livello";"21,4"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"28,6"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"-"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"-"
"Tasso di occupazione";""
"Uomini";"74,3"
"Donne";"57,1"
"Totale";"71,4"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"28,6"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"4,8"
"Non hanno mai lavorato dopo la laurea";"23,8"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"28,6"
"Non lavorano ma cercano";"-"
"Tasso di disoccupazione";"-"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"30"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"100,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,4"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"1,1"
"Tempo dalla laurea al reperimento del primo lavoro";"1,8"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"-"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"46,7"
"Professioni tecniche";"46,7"
"Professioni esecutive nel lavoro d'ufficio";"-"
"Altre professioni";"3,3"
"Altro";"3,3"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"-"
"Tempo indeterminato";"20,0"
"Tempo determinato";"-"
"Borsa o assegno di studio o di ricerca";"3,3"
"Contratti formativi";"73,3"
"Altre forme contrattuali";"3,3"
"Senza contratto";"-"
"Diffusione dello smart working (%)";"76,7"
"Diffusione del part-time (%)";"13,3"
"Numero di ore settimanali di lavoro (medie)";"37,5"
"6. Caratteristiche dell'impresa"
"";""
"Settore di attivita' (%)";""
"Pubblico";"3,3"
"Privato";"96,7"
"Non profit";"-"
"Ramo di attivita' economica (%)";""
"Agricoltura";"-"
"Metalmeccanica e meccanica di precisione";"-"
"Edilizia";"-"
"Chimica/Energia";"-"
"Altra industria manifatturiera";"3,3"
"Totale industria";"3,3"
"Commercio";"3,3"
"Credito, assicurazioni";"-"
"Trasporti, pubblicita', comunicazioni";"3,3"
"Consulenze varie";"3,3"
"Informatica";"76,7"
"Altri servizi alle imprese";"3,3"
"Pubblica amministrazione, forze armate";"3,3"
"Istruzione e ricerca";"3,3"
"Sanita'";"-"
"Altri servizi";"-"
"Totale servizi";"96,7"
"Area geografica di lavoro (%)";""
"Nord-Ovest";"-"
"Nord-Est";"96,7"
"Centro";"-"
"Sud";"-"
"Isole";"-"
"Estero";"3,3"
"7. Retribuzione"
"";""
"Retribuzione mensile netta (medie, in euro)";""
"Uomini";"1404"
"Donne";"1501"
"Totale";"1417"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";""
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"-"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";""
"Dal punto di vista economico";"-"
"Nella posizione lavorativa";"-"
"Nelle mansioni svolte";"-"
"Nelle competenze professionali";"-"
"Sotto altri punti di vista";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";""
"In misura elevata";"80,0"
"In misura ridotta";"16,7"
"Per niente";"3,3"
"Adeguatezza della formazione professionale acquisita all'universita' (%)";""
"Molto adeguata";"66,7"
"Poco adeguata";"30,0"
"Per niente adeguata";"3,3"
"Richiesta della laurea per l'attivita' lavorativa (%)";""
"Richiesta per legge";"10,0"
"Non richiesta ma necessaria";"36,7"
"Non richiesta ma utile";"46,7"
"Non richiesta ne' utile";"6,7"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";""
"Efficacia della laurea nel lavoro svolto (%)";""
"Molto efficace/Efficace";"80,0"
"Abbastanza efficace";"13,3"
"Poco/Per nulla efficace";"6,7"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,9"
"Occupati che cercano lavoro (%)";"6,7"
