codice,testo,section
1,"L'infografica parla del corso di laurea triennale in Informatica presso l'Università degli Studi di Padova, a partire dai requisiti per accedervi fino al futuro degli studenti dopo il suo completamento.", #introduction
2,"La qualità dei contenuti del corso di laurea in informatica è certificata da enti nazionali e l'Università degli Studi di Padova si trova in buone posizioni nella classifica italiana delle università.",#introduction
3,"Il corso di informatica ha ammissione a numero programmato pertanto per accedere è necessario superare un test di ingresso.",#requirements
4,"I requisiti per accedere al corso di informatica sono soltanto il diploma di maturità quinquennale e il superamento di un test di ingresso. Tutto ciò ovviamente deve essere accompagnato da un'attitudine o, perlomeno, una curiosità per le materie tecnologiche o scientifiche.",#requirements
5,"La maggior parte degli studenti sono dei ragazzi abbastanza giovani che provengono da istituti tecnici e licei scientifici.",#demographics
6,"La maggior parte degli studenti sono dei ragazzi. Le ragazze rappresentano circa il 15% del totale. Ma non lasciare che questo influenzi la tua decisione! La qualità del corso e l'allineamento con i tuoi interessi sono ciò che conta di più.",#demographics
7,"La maggior parte degli studenti proviene da istituti tecnici e licei scientifici. Ma non lasciare che questo influenzi la tua decisione! La qualità del corso e l'allineamento con i tuoi interessi sono ciò che conta di più.",#demographics
8,"La maggior parte degli studenti si trova bene con i colleghi e ne sono soddisfatti.",#demographics
9,"L'età media di immatricolazione è abbastanza bassa: 19.5 anni.",#demographics
10,"Il voto medio di diploma degli studenti iscritti è 87.4.",#demographics
11,"Il corso di laurea in informatica si svolge in presenza a Padova, in centro storico.",#locations
12,"Le aule in cui si svolgono le lezioni si trovano nel centro storico di Padova. In particolare, al Plesso Paolotti, in Torre Archimede e alle Aule Luzzati.",#locations
13,"Sono presenti numerose aule studio vicino alle aule di lezione. Le più vicine sono le aule studio del Plesso Paolotti.",#locations
14,"La maggior parte degli studenti di informatica ritiene che i laboratori e le loro attrezzature siano adeguate.",#locations
15,"I laboratori sono allocati presso Torre Archimede e Plesso Paolotti.",#locations
16,"La totalità degli studenti ritiene positiva l'esperienza effettuata con le biblioteche di ateneo.",#locations
17,"La biblioteca del dipartimento si trova presso Torre Archimede.",#locations
18,"Le aule sono ritenute spesso adeguate dalla maggior parte degli studenti.",#locations
19,"La maggior parte delle materie studiate riguarda, ovviamente, la parte di informatica. All'interno di tale parte, Ingegneria del Software e Programmazione ad oggetti hanno un peso maggiore. Un'altra grande parte è dedicata alla matematica, essenziale per capire i concetti base su cui l'informatica si fonda. La fetta rimanente, più piccola ma non meno importante, viene dedicata all'attestamento di abilità e della prova finale e stage.",#course-outline
20,"La maggior parte degli studenti ritiene abbastanza equilibrato il carico di studi.",#course-outline
21,"All'incirca un quarto dello studio è da dedicare a materie affini alla matematica.",#course-outline
22,"Il corso prevede almeno quattro progetti pratici. Inoltre, prevede uno stage obbligatorio su cui sarà basata e valutata la prova finale.",#course-outline
23,"Com'è naturale, la parte di informatica è quella di maggior peso all'interno del corso. Infatti, più della metà dello studio è da dedicare a materie ad essa affini.",#course-outline
24,"Nonostante sia una laurea triennale, il tempo medio per conseguire una laurea in informatica è sui 4 anni e il voto medio è di 96.8/110. Pertanto, il corso di laurea potrebbe essere ritenuto abbastanza impegnativo. Tuttavia, è importante ricordare che ogni percorso accademico richiede dedizione e che, con la giusta pianificazione e supporto, è comunque possibile ottenere ottimi risultati.",#exit-results
25,"Il corso di laurea dura tre anni e la maggior parte degli studenti rimane in corso, impiegandoci tale quantità di tempo per laurearsi. Tuttavia, si ha anche una buona parte di studenti fuori corso di un anno o più. La media è di 4.3 anni.",#exit-results
26,"Il voto di laurea medio in informatica è 96.8/110.",#exit-results
27,"Dopo aver conseguito la laurea in informatica, la disoccupazione è praticamente nulla, si attesta intorno al 3.9%.",#post-graduation
28,"Una grande parte dei laureati inizia a lavorare e/o prosegue con un corso di laurea di secondo livello. Tra i lavoratori, la maggior parte svolge professioni tecniche o intellettuali-scientifiche. Mentre, per quanto la laurea di secondo livello, la maggior parte dei laureati sceglie la laurea che rappresenta il proseguimento naturale del corso.",#post-graduation
29,"I lavori più svolti sono sviluppatore e gestore di reti informatiche. Altri lavori sono ad esempio webmaster, progettista di sistemi operativi o di applicazioni in ambiente Internet o locale. In generale, si tratta di profesioni perlopiù tecniche o intellettuali-scientifiche.",#post-graduation
30,"La gran parte degli studenti e dei laureati in informatica è soddisfatta del corso svolto, non si pente della loro scelta e lo rifarebbe nuovamente.",#students-feedback
